Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-01,1,00:00-00:15,1882.844,2259,0,0,0,0,,884.929519,900.71,50.04,7994
2020-05-01,2,00:15-00:30,1904.033,2257,0,0,0,0,,898.112751,900.71,50.01,7932
2020-05-01,3,00:30-00:45,1898.338,2244,0,0,0,0,,904.95661,901.71,50.02,7877
2020-05-01,4,00:45-01:00,1865.317,2212,0,0,0,0,,1009.923086,901.71,50.02,7798
2020-05-01,5,01:00-01:15,1889.202,2168,0,0,0,0,,1008.935879,900.71,49.96,7706
2020-05-01,6,01:15-01:30,1877.085,2136,0,0,0,0,,1008.021147,900.71,49.98,7669
2020-05-01,7,01:30-01:45,1984.481,2109,0,0,0,0,,1008.021147,900.71,49.92,7601
2020-05-01,8,01:45-02:00,2083.575,2112,0,0,0,0,,999.182585,900.71,49.96,7548
2020-05-01,9,02:00-02:15,2062.143,2099,0,0,0,0,,1098.269149,900.71,49.95,7481
2020-05-01,10,02:15-02:30,2032.757,2083,0,0,0,0,,1097.961727,900.71,49.93,7429
2020-05-01,11,02:30-02:45,1985.977,2071,0,0,0,0,,1197.961727,900.71,49.98,7399
2020-05-01,12,02:45-03:00,1975.806,2027,0,0,0,0,,1266.276719,900.71,49.97,7355
2020-05-01,13,03:00-03:15,1947.3,1944,0,0,0,0,,1327.313021,900.71,49.93,7260
2020-05-01,14,03:15-03:30,1920.911,1887,0,0,0,0,,1169.427021,900.71,49.96,7230
2020-05-01,15,03:30-03:45,1886.392,1815,0,0,0,0,,1079.179572,900.71,50,7168
2020-05-01,16,03:45-04:00,1858.689,1740,0,0,0,0,,1079.179572,900.71,50.03,7089
2020-05-01,17,04:00-04:15,1876.309,1658,0,0,0,0,,1078.387172,900.71,50.01,6962
2020-05-01,18,04:15-04:30,1843.727,1573,0,0,0,0,,877.282977,900.71,50,7066
2020-05-01,19,04:30-04:45,1744.793,1519,0,0,0,0,,867.270543,900.71,49.97,7127
2020-05-01,20,04:45-05:00,1732.42,1503,0,0,0,0,,860.722977,900.71,49.91,7162
2020-05-01,21,05:00-05:15,1713.499,1492,0,0,0,0,,740.31412,901.71,49.93,7213
2020-05-01,22,05:15-05:30,1562.034,1487,0,0,0,0,,620.31412,843.71,49.97,7541
2020-05-01,23,05:30-05:45,1523.904,1504,0,0,0,0,,591.551972,785.71,50.02,7742
2020-05-01,24,05:45-06:00,1496.636,1521,0,0,0,0,,515.610772,727.71,50.03,7873
2020-05-01,25,06:00-06:15,1342.039,1507,0,0,0,0,,487.434044,607.71,50,8113
2020-05-01,26,06:15-06:30,1320.715,1526,0,0,0,0,,427.06788,350.72,50,8543
2020-05-01,27,06:30-06:45,1336.794,1580,0,0,0,0,,427.06788,156.39,50.06,8802
2020-05-01,28,06:45-07:00,1393.981,1633,0,0,0,0,,427.06788,56.39,50.03,8974
2020-05-01,29,07:00-07:15,1556.604,1676,0,0,0,0,,426.516749,20.39,50.01,9216
2020-05-01,30,07:15-07:30,1715.513,1698,0,0,0,0,,426.22371,20.39,49.99,9437
2020-05-01,31,07:30-07:45,1909.366,1738,0,0,0,0,,424.105544,20.39,50,9538
2020-05-01,32,07:45-08:00,2056.246,1813,0,0,0,0,,424.105544,40.39,49.99,9565
2020-05-01,33,08:00-08:15,2171.723,1998,0,0,0,0,,423.455545,60.39,50.07,9632
2020-05-01,34,08:15-08:30,2305.344,2183,0,0,0,0,,424.105544,20.39,50.09,9608
2020-05-01,35,08:30-08:45,2438.428,2310,0,0,0,0,,419.180692,20.39,50.1,9534
2020-05-01,36,08:45-09:00,2573.72,2468,0,0,0,0,,414.783547,20.39,50.12,9550
2020-05-01,37,09:00-09:15,2511.545,2624,0,0,0,0,,415.955544,218.33,50.04,9457
2020-05-01,38,09:15-09:30,2654.41,2807,0,0,0,0,,416.974126,384.39,50.06,9537
2020-05-01,39,09:30-09:45,2830.731,2994,0,0,0,0,,400.577549,484.39,50.04,9509
2020-05-01,40,09:45-10:00,2941.603,3206,0,0,0,0,,416.502646,590.39,50.04,9486
2020-05-01,41,10:00-10:15,3059.963,3426,0,0,0,0,,774.077101,723.07,50.1,9221
2020-05-01,42,10:15-10:30,3163.05,3607,0,0,0,0,,783.370533,813.07,50.07,9278
2020-05-01,43,10:30-10:45,3341.019,3732,0,0,0,0,,784.661528,875.75,50.1,9265
2020-05-01,44,10:45-11:00,3480.065,3805,0,0,0,0,,1136.483654,938.43,50.03,9232
2020-05-01,45,11:00-11:15,3566.996,3858,0,0,0,0,,1132.198162,961.71,50,9054
2020-05-01,46,11:15-11:30,3583.537,3893,0,0,0,0,,1148.432491,961.71,50.02,9089
2020-05-01,47,11:30-11:45,3615.468,3895,0,0,0,0,,1156.217362,960.71,49.99,9047
2020-05-01,48,11:45-12:00,3673.407,3880,0,0,0,0,,1534.407458,960.71,50.02,9036
2020-05-01,49,12:00-12:15,3832.086,3824,0,0,0,0,,1612.053729,960.71,50,8856
2020-05-01,50,12:15-12:30,3825.76,3751,0,0,0,0,,1584.628693,960.71,49.93,8871
2020-05-01,51,12:30-12:45,3808.375,3699,0,0,0,0,,1514.441563,960.71,49.93,8865
