Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-19,1,00:00-00:15,645.554,503,0,0,0,0,"",170.5,321.882627,49.96,9459
2020-05-19,2,00:15-00:30,638.474,478,0,0,0,0,"",170.5,321.882627,50.00,9449
2020-05-19,3,00:30-00:45,636.617,432,0,0,0,0,"",170.5,322.278827,50.02,9418
2020-05-19,4,00:45-01:00,641.496,363,0,0,0,0,"",170.5,322.278827,50.03,9317
2020-05-19,5,01:00-01:15,663.305,290,0,0,0,0,"",170.5,322.278827,50.00,9148
2020-05-19,6,01:15-01:30,670.770,240,0,0,0,0,"",170.5,322.278827,50.02,9071
2020-05-19,7,01:30-01:45,611.379,222,0,0,0,0,"",170.5,322.278827,50.04,9037
2020-05-19,8,01:45-02:00,637.447,188,0,0,0,0,"",170.5,322.278827,50.06,8940
2020-05-19,9,02:00-02:15,644.559,176,0,0,0,0,"",170.5,322.278827,50.02,8800
2020-05-19,10,02:15-02:30,616.812,169,0,0,0,0,"",243.42,559.487865,50.01,8717
2020-05-19,11,02:30-02:45,632.845,161,0,0,0,0,"",243.42,610.09787,50.02,8652
2020-05-19,12,02:45-03:00,645.274,155,0,0,0,0,"",243.42,610.09787,50.03,8582
2020-05-19,13,03:00-03:15,564.879,152,0,0,0,0,"",343.42,607.644969,49.97,8490
2020-05-19,14,03:15-03:30,564.741,159,0,0,0,0,"",443.42,607.644969,50.00,8468
2020-05-19,15,03:30-03:45,580.894,190,0,0,0,0,"",543.42,614.38504,50.03,8465
2020-05-19,16,03:45-04:00,586.799,233,0,0,0,0,"",543.42,614.38504,50.04,8429
2020-05-19,17,04:00-04:15,610.746,244,0,0,0,0,"",543.42,613.59264,50.04,8044
2020-05-19,18,04:15-04:30,622.630,272,0,0,0,0,"",543.42,585.178957,50.02,8080
2020-05-19,19,04:30-04:45,575.942,302,0,0,0,0,"",443.42,533.273371,50.01,8116
2020-05-19,20,04:45-05:00,581.601,363,0,0,0,0,"",343.42,532.147691,50.00,8135
2020-05-19,21,05:00-05:15,596.349,382,0,0,0,0,"",243.42,532.147691,50.00,8336
2020-05-19,22,05:15-05:30,613.629,394,0,0,0,0,"",170.5,321.882627,50.03,8887
2020-05-19,23,05:30-05:45,631.056,405,0,0,0,0,"",170.5,321.882627,50.01,9109
2020-05-19,24,05:45-06:00,674.179,427,0,0,0,0,"",170.5,321.882627,50.04,9208
2020-05-19,25,06:00-06:15,715.104,512,0,0,0,0,"",170.5,320.640327,50.04,9503
2020-05-19,26,06:15-06:30,734.007,644,0,0,0,0,"",170.5,320.640327,50.03,9921
2020-05-19,27,06:30-06:45,809.493,798,0,0,0,0,"",170.5,320.640327,50.07,10250
2020-05-19,28,06:45-07:00,903.377,965,0,0,0,0,"",170.5,320.640327,50.06,10479
2020-05-19,29,07:00-07:15,1033.339,1075,0,0,0,0,"",170.5,320.640327,50.03,10701
2020-05-19,30,07:15-07:30,1167.226,1161,0,0,0,0,"",243.42,489.092195,50.04,10906
2020-05-19,31,07:30-07:45,1354.531,1184,0,0,0,0,"",243.42,500.767446,50.04,10903
2020-05-19,32,07:45-08:00,1564.083,1241,0,0,0,0,"",243.42,513.636699,50.07,10941
2020-05-19,33,08:00-08:15,1719.540,1332,0,0,0,0,"",243.42,501.382529,50.03,10908
2020-05-19,34,08:15-08:30,1884.967,1461,0,0,0,0,"",243.42,501.386488,50.05,10948
2020-05-19,35,08:30-08:45,2043.021,1622,0,0,0,0,"",193.42,418.059713,50.06,10955
2020-05-19,36,08:45-09:00,2183.359,1778,0,0,0,0,"",170.5,417.695189,50.07,11014
2020-05-19,37,09:00-09:15,2145.341,1992,0,0,0,0,"",170.5,319.847927,50.00,11029
2020-05-19,38,09:15-09:30,2259.302,2151,0,0,0,0,"",170.5,319.847927,50.00,11100
2020-05-19,39,09:30-09:45,2383.282,2311,0,0,0,0,"",170.5,319.847927,49.98,11101
2020-05-19,40,09:45-10:00,2514.223,2465,0,0,0,0,"",170.5,319.847927,50.01,11079
2020-05-19,41,10:00-10:15,2642.046,2626,0,0,0,0,"",170.5,319.465827,50.06,10849
2020-05-19,42,10:15-10:30,2725.017,2706,0,0,0,0,"",170.5,319.465827,50.08,11032
2020-05-19,43,10:30-10:45,2805.357,2761,0,0,0,0,"",170.5,319.465827,50.11,11037
2020-05-19,44,10:45-11:00,2857.030,2804,0,0,0,0,"",170.5,428.931166,50.05,10975
2020-05-19,45,11:00-11:15,2943.094,2866,0,0,0,0,"",216.42,514.758222,50.01,10748
2020-05-19,46,11:15-11:30,2970.706,2906,0,0,0,0,"",243.42,510.308552,49.94,10730
2020-05-19,47,11:30-11:45,2995.862,2948,0,0,0,0,"",243.42,500.570506,50.02,10744
2020-05-19,48,11:45-12:00,3032.397,2970,0,0,0,0,"",243.42,513.564633,50.04,10628
2020-05-19,49,12:00-12:15,2986.810,2975,0,0,0,0,"",343.42,521.907017,50.00,10354
2020-05-19,50,12:15-12:30,2984.166,2961,0,0,0,0,"",443.42,540.452425,50.03,10419
2020-05-19,51,12:30-12:45,2982.495,2969,0,0,0,0,"",443.42,555.379051,50.04,10409
2020-05-19,52,12:45-13:00,2977.467,2962,0,0,0,0,"",443.42,556.993911,50.04,10365
2020-05-19,53,13:00-13:15,2973.531,2966,0,0,0,0,"",443.42,556.800393,50.01,10316
2020-05-19,54,13:15-13:30,2977.639,2935,0,0,0,0,"",453.42,556.453871,50.04,10281
2020-05-19,55,13:30-13:45,2953.177,2921,0,0,0,0,"",443.42,556.800393,50.02,10356
2020-05-19,56,13:45-14:00,2920.621,2891,0,0,0,0,"",443.42,556.854524,49.99,10338
2020-05-19,57,14:00-14:15,2880.376,2856,0,0,0,0,"",444.42,557.60304,49.98,10298
2020-05-19,58,14:15-14:30,2842.085,2823,0,0,0,0,"",443.42,547.505582,49.89,10298
2020-05-19,59,14:30-14:45,2785.388,2793,0,0,0,0,"",443.42,552.366334,50.00,10381
2020-05-19,60,14:45-15:00,2720.544,2728,0,0,0,0,"",343.42,557.867898,49.98,10422
2020-05-19,61,15:00-15:15,2689.744,2626,0,0,0,0,"",243.42,457.890187,49.98,10436
2020-05-19,62,15:15-15:30,2588.845,2520,0,0,0,0,"",243.42,468.255371,50.02,10576
2020-05-19,63,15:30-15:45,2513.763,2387,0,0,0,0,"",170.5,484.595661,49.99,10650
2020-05-19,64,15:45-16:00,2390.485,2286,0,0,0,0,"",170.5,484.595661,49.99,10634
